Numero do Pedido;Vendedor Responsavel;NF Faturada;Data de Faturamento;Mapa;Cidade Destino;Estado;Regiao;Peso Pedido
ARBOR2024577747;573008;3,32E+39;03/07/2023;30723;Teresopolis;RJ;Teresopolis;1234,56
ARBOR2024579423;573008;3,32E+39;03/07/2023;30723;Teresopolis;RJ;Teresopolis;2345,78
ARBOR2024937317;937168;3,32E+39;03/07/2023;30723;Rio de Janeiro;RJ;Cidade do Rio de Janeiro;1876,45
ARBOR2024518534;514217;3,32E+39;03/07/2023;30723;Queimados;RJ;Baixada Fluminense;4567,89
ARBOR2024933331;937168;3,32E+39;03/07/2023;30723;Rio de Janeiro;RJ;Cidade do Rio de Janeiro;3456,78
ARBOR2024859550;857772;3,32E+39;03/07/2023;30723;Belford Roxo;RJ;Baixada Fluminense;5678,90
ARBOR2024284532;284438;3,32E+39;03/07/2023;30723;Sao Joao de Meriti;RJ;Baixada Fluminense;2123,45
ARBOR2024571840;573008;3,32E+39;03/07/2023;30723;Teresopolis;RJ;Teresopolis;1999,99
ARBOR2024897163;891096;3,32E+39;03/07/2023;30723;Rio de Janeiro;RJ;Cidade do Rio de Janeiro;4789,01
ARBOR2024516811;514217;3,32E+39;03/07/2023;30723;Duque de Caxias;RJ;Baixada Fluminense;3210,12
ARBOR2024515461;514217;3,32E+39;03/07/2023;30723;Duque de Caxias;RJ;Baixada Fluminense;5432,21
ARBOR2024939632;937168;3,32E+39;03/07/2023;30723;Rio de Janeiro;RJ;Cidade do Rio de Janeiro;1765,43
ARBOR2024892436;891096;3,32E+39;03/07/2023;30723;Rio de Janeiro;RJ;Cidade do Rio de Janeiro;2890,54
ARBOR2024579341;573008;3,32E+39;03/07/2023;30723;Guapimirim;RJ;Baixada Fluminense;4123,67
ARBOR2024512983;514217;3,32E+39;03/07/2023;30723;Mage;RJ;Baixada Fluminense;3567,89
ARBOR2024287589;284438;3,32E+39;03/07/2023;30723;Sao Joao de Meriti;RJ;Baixada Fluminense;2345,67
ARBOR2024855303;857772;3,32E+39;03/07/2023;30723;Belford Roxo;RJ;Baixada Fluminense;5678,90
ARBOR2024896295;891096;3,32E+39;03/07/2023;30723;Rio de Janeiro;RJ;Cidade do Rio de Janeiro;800,12
ARBOR2024931884;937168;3,32E+39;03/07/2023;30723;Rio de Janeiro;RJ;Cidade do Rio de Janeiro;950,78
ARBOR2024512498;514217;3,32E+39;03/07/2023;30723;Mage;RJ;Baixada Fluminense;4378,90
ARBOR2024577747;573008;3,32E+39;03/07/2023;30723;Teresopolis;RJ;Teresopolis;603,61
ARBOR2024579423;573008;3,32E+39;03/07/2023;30723;Teresopolis;RJ;Teresopolis;632,11
ARBOR2024937317;937168;3,32E+39;03/07/2023;30723;Rio de Janeiro;RJ;Cidade do Rio de Janeiro;16401,79
ARBOR2024518534;514217;3,32E+39;03/07/2023;30723;Queimados;RJ;Baixada Fluminense;3140,78
ARBOR2024933331;937168;3,32E+39;03/07/2023;30723;Rio de Janeiro;RJ;Cidade do Rio de Janeiro;11082,72
ARBOR2024859550;857772;3,32E+39;03/07/2023;30723;Belford Roxo;RJ;Baixada Fluminense;488,25
ARBOR2024577747;573008;3,32E+39;03/07/2023;30723;Teresopolis;RJ;Teresopolis;499,88
ARBOR2024579423;573008;3,32E+39;03/07/2023;30723;Teresopolis;RJ;Teresopolis;495,07
ARBOR2024937317;937168;3,32E+39;03/07/2023;30723;Rio de Janeiro;RJ;Cidade do Rio de Janeiro;15920,18
ARBOR2024518534;514217;3,32E+39;03/07/2023;30723;Queimados;RJ;Baixada Fluminense;517,72
ARBOR2024933331;937168;3,32E+39;03/07/2023;30723;Rio de Janeiro;RJ;Cidade do Rio de Janeiro;17201,55
ARBOR2024859550;857772;3,32E+39;03/07/2023;30723;Belford Roxo;RJ;Baixada Fluminense;819,23
ARBOR2024284532;284438;3,32E+39;03/07/2023;30723;Sao Joao de Meriti;RJ;Baixada Fluminense;973,54
